datum,tävling,kategori,viktklass,placering,namn,förening,kroppsvikt,böj,bänk,mark,total,poäng,diskvalificerad,kön,tävlingstyp,count,klassisk/utrustad,sl/bp
2022-05-05,U/J SM Styrkelyft klassisk,Herr Ungdom,59.00,1,Kevin Kalhour,Become an Athlete Styrkesällskap,57.9,132.5,108.0,165.0,405.5,357.49,,Herr,klassisk sl,1,klassisk,sl
2022-05-05,U/J SM Styrkelyft klassisk,Herr Ungdom,59.00,2,Lukas  Broström,Täby AK,58.5,120.0,67.5,135.0,322.5,281.57,,Herr,klassisk sl,1,klassisk,sl
2022-05-05,U/J SM Styrkelyft klassisk,Herr Ungdom,66.00,1,Anders Nguyen,Göteborgs SK,65.05,200.0,110.0,222.5,532.5,423.17,,Herr,klassisk sl,1,klassisk,sl
2022-05-05,U/J SM Styrkelyft klassisk,Herr Ungdom,66.00,2,Valdemar Kesa,Stockholms AK,65.85,175.0,112.5,172.5,460.0,361.87,,Herr,klassisk sl,1,klassisk,sl
2022-05-05,U/J SM Styrkelyft klassisk,Herr Ungdom,66.00,3,Benjamin Olofsson,Borlänge AK,65.75,125.0,125.0,197.5,447.5,352.48,,Herr,klassisk sl,1,klassisk,sl
2022-05-05,U/J SM Styrkelyft klassisk,Herr Ungdom,66.00,4,Johan Westlund,Västerviks AK,65.35,142.5,107.5,185.0,435.0,344.37,,Herr,klassisk sl,1,klassisk,sl
2022-05-05,U/J SM Styrkelyft klassisk,Herr Ungdom,66.00,5,Hampus Hell Andersson,Borlänge AK,63.65,140.0,92.5,175.0,407.5,329.85,,Herr,klassisk sl,1,klassisk,sl
2022-05-05,U/J SM Styrkelyft klassisk,Herr Ungdom,66.00,6,Oscar Brus,Måndagsklubben IF,62.8,130.0,65.0,155.0,350.0,286.62,,Herr,klassisk sl,1,klassisk,sl
2022-05-05,U/J SM Styrkelyft klassisk,Herr Ungdom,74.00,1,William  Lindgren,ASK Eskilstuna,73.0,185.0,127.5,215.0,527.5,383.15,,Herr,klassisk sl,1,klassisk,sl
2022-05-05,U/J SM Styrkelyft klassisk,Herr Ungdom,74.00,2,Oscar Berg,Södertälje AK,73.5,170.0,100.0,235.0,505.0,365.01,,Herr,klassisk sl,1,klassisk,sl
2022-05-05,U/J SM Styrkelyft klassisk,Herr Ungdom,74.00,3,Oscar Wille,Lunds TK,73.15,165.0,130.0,202.5,497.5,360.83,,Herr,klassisk sl,1,klassisk,sl
2022-05-05,U/J SM Styrkelyft klassisk,Herr Ungdom,74.00,4,Adam  Westlund,Linköpings AK,71.75,160.0,115.0,210.0,485.0,356.76,,Herr,klassisk sl,1,klassisk,sl
2022-05-05,U/J SM Styrkelyft klassisk,Herr Ungdom,74.00,5,alfons haglund-ols,Måndagsklubben IF,73.5,170.0,85.0,230.0,485.0,350.56,,Herr,klassisk sl,1,klassisk,sl
2022-05-05,U/J SM Styrkelyft klassisk,Herr Ungdom,74.00,6,Ossian Löfdahl,TK Trossö,67.3,162.5,100.0,220.0,482.5,372.9,,Herr,klassisk sl,1,klassisk,sl
2022-05-05,U/J SM Styrkelyft klassisk,Herr Ungdom,74.00,7,Max Widahl,Växjö AK,70.6,180.0,117.5,185.0,482.5,359.24,,Herr,klassisk sl,1,klassisk,sl
2022-05-05,U/J SM Styrkelyft klassisk,Herr Ungdom,74.00,8,Elliot Wikman,Vedum AIS,72.5,160.0,110.0,200.0,470.0,343.1,,Herr,klassisk sl,1,klassisk,sl
2022-05-05,U/J SM Styrkelyft klassisk,Herr Ungdom,74.00,9,Leo Näreskog,Stockholms AK,72.4,152.5,110.0,200.0,462.5,337.96,,Herr,klassisk sl,1,klassisk,sl
2022-05-05,U/J SM Styrkelyft klassisk,Herr Ungdom,74.00,10,Theo Hall,Kristinehamns Atlet och BK,72.7,167.5,92.5,195.0,455.0,331.48,,Herr,klassisk sl,1,klassisk,sl
2022-05-05,U/J SM Styrkelyft klassisk,Herr Ungdom,74.00,11,Johan  Hedlund,HAK Greppet,71.1,152.5,105.0,185.0,442.5,327.71,,Herr,klassisk sl,1,klassisk,sl
2022-05-05,U/J SM Styrkelyft klassisk,Herr Ungdom,74.00,12,Alvin Fries,TK Trossö,70.7,147.5,100.0,180.0,427.5,317.95,,Herr,klassisk sl,1,klassisk,sl
2022-05-05,U/J SM Styrkelyft klassisk,Herr Ungdom,74.00,13,Hampus  Lindahl,Vedum AIS,69.8,155.0,100.0,170.0,425.0,319.19,,Herr,klassisk sl,1,klassisk,sl
2022-05-05,U/J SM Styrkelyft klassisk,Herr Ungdom,83.00,1,Hampus Jonsson,Växjö AK,81.5,205.0,175.0,222.5,602.5,406.61,,Herr,klassisk sl,1,klassisk,sl
2022-05-05,U/J SM Styrkelyft klassisk,Herr Ungdom,83.00,2,Theo Luth,Håbo AK,81.8,222.5,125.0,235.0,582.5,392.23,,Herr,klassisk sl,1,klassisk,sl
2022-05-05,U/J SM Styrkelyft klassisk,Herr Ungdom,83.00,3,Nemo Strand,ASK Eskilstuna,81.65,197.5,107.5,242.5,547.5,369.08,,Herr,klassisk sl,1,klassisk,sl
2022-05-05,U/J SM Styrkelyft klassisk,Herr Ungdom,83.00,4,Edvin Borgström,Sundsvalls AK,82.95,185.0,132.5,210.0,527.5,352.23,,Herr,klassisk sl,1,klassisk,sl
2022-05-05,U/J SM Styrkelyft klassisk,Herr Ungdom,83.00,5,Felix König,Trosa Atletik IF,80.0,165.0,132.5,212.5,510.0,348.18,,Herr,klassisk sl,1,klassisk,sl
