tävling,datum,typ,vikt,böj,bänk,mark,total,poäng,namn,förening,distrikt,kön,år,viktklass,elit
Elitserien dam KL BP,2018-11-19,KBP,62.7,0.0,100.0,0.0,100.0,107.79,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2018.0,63,False
"EM Bänkpress, utrustning",2018-10-12,BP,56.89,,122.5,,,142.36,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2018.0,57,True
EM klassisk bänkpress 2018,2018-08-11,KBP,56.91,0.0,107.5,0.0,107.5,124.9,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2018.0,57,True
SM i Klassisk Bänkpress 2018,2018-07-08,KBP,56.85,0.0,100.0,0.0,100.0,116.28,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2018.0,57,True
Enbart Ranking KL BP dam,2018-05-19,KBP,56.14,0.0,105.0,0.0,105.0,123.3,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2018.0,57,False
EM KLBP 2017,2017-08-12,KBP,56.01,0.0,102.5,0.0,102.5,120.59,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2017.0,57,True
SM-veckan Borås (Klassisk bänkpress),2017-07-07,KBP,56.85,0.0,97.5,0.0,97.5,113.37,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2017.0,57,True
SM-veckan Borås (Klassisk styrkelyft),2017-07-04,KSL,56.5,117.5,103.0,150.0,370.5,432.9,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2017.0,57,True
VM Bänkpress 2017,2017-05-26,BP,60.15,,127.5,,,141.87,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2017.0,63,True
VM klassisk bänkpress 2017,2017-04-21,KBP,56.71,0.0,102.5,0.0,102.5,119.42,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2017.0,57,True
SM-veckan Söderhamn 2017 (Bänkpress),2017-02-05,BP,59.9,,122.5,,,136.75,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2017.0,63,True
Lag-SM 2016 Klassisk Styrkelyft,2016-12-02,KSL,59.5,110.0,97.5,150.0,357.5,401.17,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2016.0,63,True
DM i styrkelyft (klassisk) Västra Svealand,2016-11-19,KSL,59.95,115.0,100.0,140.0,355.0,396.04,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2016.0,63,False
Elitserien dam KL BP,2016-09-19,KBP,59.7,0.0,95.0,0.0,95.0,106.33,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2016.0,63,False
EM Bänkpress 2016,2016-08-19,BP,56.65,,115.0,,,134.09,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2016.0,57,True
Damserien BP,2016-05-21,BP,63.0,,80.0,,,85.92,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2016.0,69,False
