,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,tävling,datum,typ,vikt,böj,bänk,mark,total,poäng,namn,förening,distrikt
0,0.0,0.0,0.0,0.0,Elitserien dam KL BP,2018-11-19,KBP,"62,70",0,"100,00",0,"100,00","107,79",Karolina Arvidson,Örebro KK,Västra Svealands SDF
1,1.0,1.0,1.0,1.0,"EM Bänkpress, utrustning",2018-10-12,BP,"56,89",,"122,50",,,"142,36",Karolina Arvidson,Örebro KK,Västra Svealands SDF
2,2.0,2.0,2.0,2.0,EM klassisk bänkpress 2018,2018-08-11,KBP,"56,91",0,"107,50",0,"107,50","124,90",Karolina Arvidson,Örebro KK,Västra Svealands SDF
3,3.0,3.0,3.0,3.0,SM i Klassisk Bänkpress 2018,2018-07-08,KBP,"56,85","0,00","100,00","0,00","100,00","116,28",Karolina Arvidson,Örebro KK,Västra Svealands SDF
4,4.0,4.0,4.0,4.0,Enbart Ranking KL BP dam,2018-05-19,KBP,"56,14","0,00","105,00","0,00","105,00","123,30",Karolina Arvidson,Örebro KK,Västra Svealands SDF
5,5.0,5.0,5.0,5.0,EM KLBP 2017,2017-08-12,KBP,"56,01",0,"102,50",0,"102,50","120,59",Karolina Arvidson,Örebro KK,Västra Svealands SDF
6,6.0,6.0,6.0,6.0,SM-veckan Borås (Klassisk bänkpress),2017-07-07,KBP,"56,85","0,00","97,50","0,00","97,50","113,37",Karolina Arvidson,Örebro KK,Västra Svealands SDF
7,7.0,7.0,7.0,7.0,SM-veckan Borås (Klassisk styrkelyft),2017-07-04,KSL,"56,50","117,50","103,00","150,00","370,50","432,90",Karolina Arvidson,Örebro KK,Västra Svealands SDF
8,8.0,8.0,8.0,8.0,VM Bänkpress 2017,2017-05-26,BP,"60,15",,"127,50",,,"141,87",Karolina Arvidson,Örebro KK,Västra Svealands SDF
9,9.0,9.0,9.0,9.0,VM klassisk bänkpress 2017,2017-04-21,KBP,"56,71",0,"102,50",0,"102,50","119,42",Karolina Arvidson,Örebro KK,Västra Svealands SDF
10,10.0,10.0,10.0,10.0,SM-veckan Söderhamn 2017 (Bänkpress),2017-02-05,BP,"59,90",,"122,50",,,"136,75",Karolina Arvidson,Örebro KK,Västra Svealands SDF
11,11.0,11.0,11.0,11.0,Lag-SM 2016 Klassisk Styrkelyft,2016-12-02,KSL,"59,50","110,00","97,50","150,00","357,50","401,17",Karolina Arvidson,Örebro KK,Västra Svealands SDF
12,12.0,12.0,12.0,12.0,DM i styrkelyft (klassisk) Västra Svealand,2016-11-19,KSL,"59,95","115,00","100,00","140,00","355,00","396,04",Karolina Arvidson,Örebro KK,Västra Svealands SDF
13,13.0,13.0,13.0,13.0,Elitserien dam KL BP,2016-09-19,KBP,"59,70",0,"95,00",0,"95,00","106,33",Karolina Arvidson,Örebro KK,Västra Svealands SDF
14,14.0,14.0,14.0,14.0,EM Bänkpress 2016,2016-08-19,BP,"56,65",,"115,00",,,"134,09",Karolina Arvidson,Örebro KK,Västra Svealands SDF
15,15.0,15.0,15.0,15.0,Damserien BP,2016-05-21,BP,"63,00",,"80,00",,,"85,92",Karolina Arvidson,Örebro KK,Västra Svealands SDF
16,16.0,16.0,16.0,16.0,VM KLBP,2016-05-19,KBP,"63,00",0,"80,00",0,"80,00","85,92",Karolina Arvidson,Örebro KK,Västra Svealands SDF
17,17.0,17.0,17.0,17.0,VM Bänkpress (Rödby) 2016,2016-04-23,BP,"62,41",,"120,00",,,"129,80",Karolina Arvidson,Örebro KK,Västra Svealands SDF
